year,age,length_mm,dry_weight_mg
2016,6,10.113,2.5390000741928
2016,10,12.168,5.23830350088512
2016,9,10.418,2.8522213576698534
2016,7,9.776,2.223507278469593
2016,5,9.778,2.2252887078872488
2016,20,14.672,10.898410611231258
2016,13,13.901,8.822318752376276
2016,14,12.313,5.486963526874828
2016,12,12.928,6.640529261344555
2016,8,11.681,4.464180837322397
2016,11,11.477,4.166636359512237
2016,7,9.7,2.1565961465584262
2016,11,12.078,5.088244937313747
2016,13,12.083,5.096496511051423
2017,10,12.617,5.511394991174106
2017,14,11.799,4.160738433026057
2017,12,13.637,7.6359391348369465
2017,10,12.514,5.325140818166538
2017,8,11.061,3.1734036898939357
2017,8,12.921,6.09014447524399
2017,12,9.091,1.3940197721164498
2017,7,9.455,1.6435242299481345
2017,13,11.518,3.7606861454214906
2017,13,9.489,1.6684538336025188
2017,13,11.706,4.024917407250346
2017,10,10.311,2.36393287858842
2017,11,10.894,2.977251170523842
2017,15,15.353,12.552959600691732
2017,11,13.906,8.287847911398567
2017,9,11.932,4.3610090627668106
2017,9,12.562,5.411332279300974
2017,10,12.754,5.7667708648473655
2017,7,7.508,0.6248854376463917
2017,10,13.187,6.633519206498213
2017,13,11.712,4.03357672370345
2017,12,13.938,8.368129086310816
2017,8,10.331,2.383223130450587
2017,10,11.828,4.203796648987418
2017,11,14.623,10.233274833500069
2017,7,8.766,1.1966330422407994
2017,10,11.9,4.3121672516815694
2017,11,13.279,6.829787738298555
2017,2,10.64,2.6967757150288554
2017,13,10.978,3.0747233974785027
2017,12,14.728,10.545001246128233
2017,4,11.848,4.233689093291179
2017,13,13.9,8.272860730036516
2017,5,12.581,5.445741620220916
2017,8,10.265,2.3200166025691566
2017,11,11.64,3.9305962946005084
2017,10,11.943,4.377895351478667
2017,13,10.45,2.5004913878818416
2017,14,11.474,3.7008007478578024
2017,10,11.052,3.1625884165715963
2017,8,9.722,1.8471352554175395
2017,6,10.437,2.4874711785419645
2017,3,7.574,0.6482491447373059
2017,14,13.643,7.650039437692601
2017,9,12.069,4.574893830626896
2017,14,12.382,5.093499346944492
2017,8,12.439,5.1925644178113135
2017,7,10.263,2.318121400916238
2017,9,10.092,2.160390173674575
2017,9,12.564,5.414946496573533
2017,8,8.825,1.2307763762713668
2017,6,8.089,0.8542059273984709
2017,7,9.107,1.4043385011449432
2017,17,14.173,8.975990332638297
2017,13,14.292,9.29633391072987
2017,11,12.628,5.531575457158773
2017,9,11.593,3.864461425438589
2017,13,14.04,8.627983205175841
2017,11,12.591,5.463918592650972
2017,12,13.505,7.3307084117536805
2017,7,10.361,2.412383006273653
2017,6,10.397,2.4477326302645506
2017,10,7.779,0.7250800208946494
2017,11,15.863,14.396856995067939
2017,16,13.638,7.638287809716112
2017,14,15.117,11.763333836190062
2017,9,12.195,4.778571952081444
2017,9,12.087,4.603578177425999
2017,13,12.795,5.8449206306125046
2017,10,10.277,2.331412605266582
2017,8,11.305,3.4775100808467148
2017,13,15.901,14.542053302558609
2017,13,15.427,12.808673815378569
2017,13,15.773,14.057374957556348
2017,11,15.027,11.472392850280933
2017,14,14.583,10.11638707511785
2017,15,14.838,10.879274357639458
2017,12,12.294,4.943390955046272
2017,14,11.342,3.525494191633126
2017,14,11.35,3.535935092059998
2017,5,7.851,0.7536453016229886
2017,16,14.785,10.717223660609326
2017,19,15.496,13.050666018157697
2017,13,15.588,13.37872005862267
2017,14,14.536,9.980346317415808
2017,11,11.998,4.463075048496455
2017,11,12.498,5.296643991244843
2017,17,14.272,9.241895370732129
2017,9,8.806,1.2197011396240356
2017,11,13.912,8.302855760985535
2017,6,10.218,2.2757901774576648
2017,11,12.029,4.511638232894692
2017,10,8.654,1.1338073845427095
2017,17,13.746,7.8952013302083515
2017,8,10.724,2.787199673420408
2017,8,10.61,2.6650291338130874
2017,13,14.833,10.863907351174095
2017,10,11.823,4.196348718463546
2017,12,10.05,2.1229321004352406
2019,10,8.545,0.5295428352202934
2019,11,17.515,13.220368624211384
2019,8,11.251,1.81771466778208
2019,13,17.251,12.350208664450054
2019,6,11.233,1.8047139976987852
2019,10,16.854,11.126162588000259
2019,6,9.683,0.9275096231738987
2019,7,9.358,0.7958834464077051
2019,15,16.081,9.014410093090923
2019,13,11.828,2.274559639986921
2019,8,11.887,2.325866874684439
2019,6,7.382,0.2748274605405967
2019,7,10.072,1.106633108768201
2019,6,8.361,0.4803076627859865
2019,5,8.702,0.5745769910925446
2019,8,8.565,0.535121853673804
2019,7,9.061,0.6887418809810952
2019,8,11.318,1.8667468115438401
2019,8,12.631,3.053382881038172
2019,5,12.334,2.744447207734097
2019,6,10.945,1.6063500024593114
2019,6,9.469,0.8390875055004259
2019,8,11.57,2.0604370372983722
2019,7,11.484,1.9926620180125951
2019,8,13.165,3.6762042309898466
2019,8,11.988,2.4157807121336665
2019,6,9.955,1.0501585869850807
2019,6,9.45,0.8315659485664129
2019,8,9.393,0.8093151621449983
2019,9,10.581,1.3803498116837554
2019,7,10.107,1.1239772395069474
2019,7,11.796,2.247102310133211
2019,5,9.027,0.6772315032516188
